Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    1.32    1585/1585        caml_garbage_collection [14]
-----------------------------------------------
                0.00    0.79    1593/1593        caml_minor_collection [13]
[16]     3.5    0.00    0.79    1593         caml_major_collection_slice [16]
                0.24    0.09    1112/1115        sweep_slice [21]
                0.20    0.06     481/484         mark_slice [24]
                0.00    0.20      89/89          caml_compact_heap_maybe [29]
                0.00    0.00      90/93          start_cycle [92]
                0.00    0.00    9558/15165       caml_gc_message [162]
-----------------------------------------------
                0.00    0.54    3186/3186        caml_minor_collection [13]
[17]     2.4    0.00    0.54    3186         caml_empty_minor_heap [17]
                0.13    0.38    1593/1593        caml_oldify_mopup [18]
                0.02    0.00    1593/1593        caml_oldify_local_roots [52]
                0.00    0.00     267/13963151     caml_oldify_one [19]
                0.00    0.00    3186/15165       caml_gc_message [162]
                0.00    0.00    3186/3186        clear_table [173]
                0.00    0.00    3186/3186        caml_final_empty_young [172]
-----------------------------------------------
                0.13    0.38    1593/1593        caml_empty_minor_heap [17]
[18]     2.3    0.13    0.38    1593         caml_oldify_mopup [18]
                0.09    0.29 13838512/13963151     caml_oldify_one [19]
-----------------------------------------------
                                 161             caml_oldify_one [19]
                0.00    0.00     267/13963151     caml_empty_minor_heap [17]
                0.00    0.00    1593/13963151     caml_iterate_global_roots [102]
                0.00    0.00  122779/13963151     caml_oldify_local_roots [52]
                0.09    0.29 13838512/13963151     caml_oldify_mopup [18]
[19]     1.7    0.09    0.30 13963151+161     caml_oldify_one [19]
                0.07    0.23 13832256/13832263     caml_alloc_shr [23]
                                 161             caml_oldify_one [19]
-----------------------------------------------
                0.16    0.00    6696/14417       caml_page_table_remove [32]
                0.18    0.00    7721/14417       caml_page_table_add [31]
