Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.11    0.37    1593/1593        caml_oldify_mopup [18]
                0.03    0.00    1593/1593        caml_oldify_local_roots [48]
                0.00    0.00     267/13949750     caml_oldify_one [20]
                0.00    0.00    3186/15140       caml_gc_message [165]
                0.00    0.00    3186/3186        clear_table [176]
                0.00    0.00    3186/3186        caml_final_empty_young [175]
-----------------------------------------------
                0.11    0.37    1593/1593        caml_empty_minor_heap [17]
[18]     1.5    0.11    0.37    1593         caml_oldify_mopup [18]
                0.10    0.27 13826053/13949750     caml_oldify_one [20]
-----------------------------------------------
                0.00    0.00       4/471         caml_finish_major_cycle [87]
                0.36    0.09     467/471         caml_major_collection_slice [16]
[19]     1.4    0.36    0.09     471         mark_slice [19]
                0.09    0.00 17176275/633191604     caml_page_table_lookup [11]
                0.00    0.00     942/15140       caml_gc_message [165]
